date,game_id,home_team,away_team,BetMGM_home_point,BetMGM_home_price,BetMGM_away_point,BetMGM_away_price,BetOnline.ag_home_point,BetOnline.ag_home_price,BetOnline.ag_away_point,BetOnline.ag_away_price,BetRivers_home_point,BetRivers_home_price,BetRivers_away_point,BetRivers_away_price,Bovada_home_point,Bovada_home_price,Bovada_away_point,Bovada_away_price,DraftKings_home_point,DraftKings_home_price,DraftKings_away_point,DraftKings_away_price,FanDuel_home_point,FanDuel_home_price,FanDuel_away_point,FanDuel_away_price,LowVig.ag_home_point,LowVig.ag_home_price,LowVig.ag_away_point,LowVig.ag_away_price,MyBookie.ag_home_point,MyBookie.ag_home_price,MyBookie.ag_away_point,MyBookie.ag_away_price
2026-02-17,c93f72cb146ef69c7bd4a79f03481123,Washington Wizards,Indiana Pacers,4.5,-115,-4.5,-105,4.0,-110,-4.0,-110,4.0,-109,-4.0,-114,4.5,-115,-4.5,-105,4.5,-115,-4.5,-105,4.5,-110,-4.5,-110,4.0,-106,-4.0,-106,4.5,-110,-4.5,-110
2026-02-17,d647541d42648749f3bde601547fa1be,Philadelphia 76ers,Atlanta Hawks,-4.5,-115,4.5,-105,-4.5,-115,4.5,-105,-4.5,-112,4.5,-112,-4.5,-115,4.5,-105,-4.5,-118,4.5,-102,-4.5,-114,4.5,-106,-4.5,-111,4.5,-101,-5.0,-110,5.0,-110
2026-02-17,24a92d49df82923f29b3e9cda4d57446,Cleveland Cavaliers,Brooklyn Nets,-14.5,-110,14.5,-110,-14.5,-110,14.5,-110,-15.0,-110,15.0,-113,-15.5,-105,15.5,-115,-14.5,-115,14.5,-105,-14.5,-115,14.5,-105,-14.5,-106,14.5,-106,-15.0,-110,15.0,-110
2026-02-17,97031eee2ea39d890bf5046a1c57c7a7,Charlotte Hornets,Houston Rockets,2.5,-110,-2.5,-110,2.5,-105,-2.5,-115,2.5,-112,-2.5,-112,2.5,-110,-2.5,-110,2.5,-110,-2.5,-110,2.5,-112,-2.5,-108,2.5,-101,-2.5,-111,2.5,-110,-2.5,-110
2026-02-17,0ea61c4bb159036d242d6aa077216586,New York Knicks,Detroit Pistons,-4.5,-110,4.5,-110,-4.5,-115,4.5,-105,-4.0,-112,4.0,-112,-4.5,-110,4.5,-110,-4.5,-112,4.5,-108,-4.5,-108,4.5,-112,-4.5,-111,4.5,-101,-4.5,-110,4.5,-110
2026-02-17,537f72a12ccf54596ce42c638bacb485,Chicago Bulls,Toronto Raptors,6.5,-110,-6.5,-110,6.5,-110,-6.5,-110,6.0,-108,-6.0,-115,6.0,-105,-6.0,-115,6.5,-110,-6.5,-110,6.5,-112,-6.5,-108,6.5,-106,-6.5,-106,6.5,-110,-6.5,-110
2026-02-17,d34f8e76f10dd65a684c9bd6301e667e,San Antonio Spurs,Phoenix Suns,-7.5,-110,7.5,-110,-7.5,-110,7.5,-110,-7.5,-110,7.5,-113,-7.5,-110,7.5,-110,-7.5,-105,7.5,-115,-7.5,-110,7.5,-110,-7.5,-106,7.5,-106,-7.5,-110,7.5,-110
2026-02-17,7bb1dc8e7e0b6a77195533729951d187,Golden State Warriors,Boston Celtics,3.5,-118,-3.5,-102,3.5,-115,-3.5,-105,3.0,-108,-3.0,-115,3.0,-110,-3.0,-110,2.5,-102,-2.5,-118,3.5,-115,-3.5,-105,3.5,-111,-3.5,-101,3.0,-110,-3.0,-110
2026-02-17,fc4ef6fdb917bca80f99940665442e96,Sacramento Kings,Orlando Magic,11.5,-115,-11.5,-105,11.0,-110,-11.0,-110,11.5,-110,-11.5,-113,11.5,-115,-11.5,-105,11.5,-115,-11.5,-105,11.5,-110,-11.5,-110,11.0,-106,-11.0,-106,11.5,-110,-11.5,-110
2026-02-17,13c088a4f279e674bf80e4cb06d231a9,Los Angeles Clippers,Denver Nuggets,4.5,-115,-4.5,-105,4.5,-110,-4.5,-110,3.5,-108,-3.5,-115,4.0,-105,-4.0,-115,4.5,-112,-4.5,-108,4.0,-108,-4.0,-112,4.5,-106,-4.5,-106,4.0,-110,-4.0,-110
2026-02-17,fde066653cf72796682157aeae55c1e3,Memphis Grizzlies,Utah Jazz,,,,,,,,,,,,,,,,,-4.5,-105,4.5,-115,-4.5,-105,4.5,-115,,,,,,,,
2026-02-17,8b76ff37aae273884a7ea6ce7f8d1aa6,Minnesota Timberwolves,Dallas Mavericks,,,,,,,,,,,,,,,,,-11.5,-115,11.5,-105,-12.5,-114,12.5,-106,,,,,,,,
2026-02-17,2007c2367cb16289e11f34463016e147,New Orleans Pelicans,Milwaukee Bucks,,,,,,,,,,,,,,,,,-3.5,-110,3.5,-110,-4.0,-110,4.0,-110,,,,,,,,
